CAX_ID,gender,match_id,server_id,receiver_id,server_score,receiver_score,set_number,game_number,point,court_side,serve,in_play,in_net,receiver_position_x,outcome,point_winner,server_handedness,receiver_handedness,zone
1,men,888534,2efb1dd19b,bbffd1708b,0,0,1,1,1,Deuce,1,TRUE,FALSE,14.13326167,winner,2efb1dd19b,Right,Right,0
2,men,888534,2efb1dd19b,bbffd1708b,15,0,1,1,2,Ad,1,FALSE,FALSE,14.11950697,fault,2efb1dd19b,Right,Right,-1
3,men,888534,2efb1dd19b,bbffd1708b,15,0,1,1,2,Ad,2,TRUE,FALSE,13.67678687,forced_error,2efb1dd19b,Right,Right,1
4,men,888534,2efb1dd19b,bbffd1708b,30,0,1,1,3,Deuce,1,TRUE,FALSE,14.15506692,ace,2efb1dd19b,Right,Right,5
5,men,888534,2efb1dd19b,bbffd1708b,40,0,1,1,4,Ad,1,TRUE,FALSE,14.03891267,unforced_error,bbffd1708b,Right,Right,1
6,men,888534,2efb1dd19b,bbffd1708b,40,15,1,1,5,Deuce,1,FALSE,FALSE,,fault,2efb1dd19b,Right,Right,-1
7,men,888534,2efb1dd19b,bbffd1708b,40,15,1,1,5,Deuce,2,TRUE,FALSE,13.79344171,winner,2efb1dd19b,Right,Right,4
8,men,888534,bbffd1708b,2efb1dd19b,0,0,1,2,1,Deuce,1,TRUE,FALSE,14.17323564,unforced_error,2efb1dd19b,Right,Right,2
9,men,888534,bbffd1708b,2efb1dd19b,0,15,1,2,2,Ad,1,TRUE,FALSE,14.24670007,unforced_error,bbffd1708b,Right,Right,0
10,men,888534,bbffd1708b,2efb1dd19b,15,15,1,2,3,Deuce,1,TRUE,FALSE,14.22417236,forced_error,bbffd1708b,Right,Right,5
11,men,888534,bbffd1708b,2efb1dd19b,30,15,1,2,4,Ad,1,FALSE,FALSE,14.15186296,fault,bbffd1708b,Right,Right,-1
12,men,888534,bbffd1708b,2efb1dd19b,30,15,1,2,4,Ad,2,TRUE,FALSE,12.05283597,winner,bbffd1708b,Right,Right,4
13,men,888534,bbffd1708b,2efb1dd19b,40,15,1,2,5,Deuce,1,TRUE,FALSE,13.97572349,unforced_error,2efb1dd19b,Right,Right,0
14,men,888534,bbffd1708b,2efb1dd19b,40,30,1,2,6,Ad,1,TRUE,FALSE,14.47079449,unforced_error,bbffd1708b,Right,Right,0
15,men,888534,2efb1dd19b,bbffd1708b,0,0,1,3,1,Deuce,1,TRUE,FALSE,-14.29338111,unforced_error,bbffd1708b,Right,Right,1
16,men,888534,2efb1dd19b,bbffd1708b,0,15,1,3,2,Ad,1,TRUE,FALSE,-14.29176135,unforced_error,2efb1dd19b,Right,Right,4
17,men,888534,2efb1dd19b,bbffd1708b,15,15,1,3,3,Deuce,1,FALSE,FALSE,-14.22475124,fault,bbffd1708b,Right,Right,-1
18,men,888534,2efb1dd19b,bbffd1708b,15,15,1,3,3,Deuce,2,TRUE,FALSE,-13.32106103,unforced_error,bbffd1708b,Right,Right,1
19,men,888534,2efb1dd19b,bbffd1708b,15,30,1,3,4,Ad,1,FALSE,TRUE,,fault,bbffd1708b,Right,Right,-1
20,men,888534,2efb1dd19b,bbffd1708b,15,30,1,3,4,Ad,2,TRUE,FALSE,-13.64573439,winner,bbffd1708b,Right,Right,1
21,men,888534,2efb1dd19b,bbffd1708b,15,40,1,3,5,Deuce,1,TRUE,FALSE,-14.16108282,ace,2efb1dd19b,Right,Right,0
22,men,888534,2efb1dd19b,bbffd1708b,30,40,1,3,6,Ad,1,TRUE,FALSE,-14.2982219,unforced_error,bbffd1708b,Right,Right,5
399,men,fe1d90,65ddf44539,790bb88cc5,0,0,3,4,1,Deuce,1,TRUE,FALSE,-14.51267262,forced_error,65ddf44539,Left,Right,4
400,men,fe1d90,65ddf44539,790bb88cc5,15,0,3,4,2,Ad,1,FALSE,TRUE,,fault,65ddf44539,Left,Right,-1
401,men,fe1d90,65ddf44539,790bb88cc5,15,0,3,4,2,Ad,2,TRUE,FALSE,-13.11927178,winner,65ddf44539,Left,Right,4
402,men,fe1d90,65ddf44539,790bb88cc5,30,0,3,4,3,Deuce,1,FALSE,FALSE,-13.98819881,fault,65ddf44539,Left,Right,-1
403,men,fe1d90,65ddf44539,790bb88cc5,30,0,3,4,3,Deuce,2,TRUE,FALSE,-14.62516856,winner,65ddf44539,Left,Right,5
404,men,fe1d90,65ddf44539,790bb88cc5,40,0,3,4,4,Ad,1,FALSE,FALSE,-14.25460441,fault,790bb88cc5,Left,Right,-1
405,men,fe1d90,65ddf44539,790bb88cc5,40,0,3,4,4,Ad,2,TRUE,FALSE,-12.94090973,forced_error,790bb88cc5,Left,Right,1
406,men,fe1d90,65ddf44539,790bb88cc5,40,15,3,4,5,Deuce,1,FALSE,FALSE,-14.68284529,fault,65ddf44539,Left,Right,-1
407,men,fe1d90,65ddf44539,790bb88cc5,40,15,3,4,5,Deuce,2,TRUE,FALSE,-13.45366708,ace,65ddf44539,Left,Right,5
